country,imdb_score,group
USA,6.4,general
USA,3.4,general
France,6.2,general
USA,8.3,general
UK,6.5,general
Canada,6.3,general
USA,6.5,general
France,6.8,general
USA,6.6,general
USA,5.8,general
India,3.4,general
France,6.7,general
USA,5.9,general
USA,4.1,general
USA,7,general
Australia,7.4,general
Japan,7,general
USA,6.5,general
Canada,6.3,general
USA,7.1,general
France,7.1,general
France,6.8,general
USA,6,general
UK,7.7,general
Australia,7.1,general
USA,5,general
Canada,5.8,general
USA,7.1,general
USA,4.3,general
Canada,6.4,general
USA,7.2,general
USA,7.1,general
UK,6.6,general
USA,7.3,general
UK,7.1,general
France,6.8,general
USA,6.2,general
Canada,4.6,general
USA,5.8,general
India,6.1,general
USA,4.5,general
USA,3.9,general
USA,5.5,general
Canada,5.9,general
USA,5.9,general
USA,6.9,general
France,6.6,general
USA,6.6,general
USA,7,general
USA,7.4,general
France,6.7,general
Australia,6.7,general
France,7,general
Canada,4.8,general
India,6.1,general
India,6.9,general
USA,6.7,general
Germany,5.9,general
France,7,general
India,5.5,general
USA,4.4,general
Canada,7.3,general
USA,7.7,general
USA,5.7,general
Canada,6.3,general
France,5.5,general
USA,7.4,general
USA,7.3,general
USA,6.5,general
USA,7.5,general
USA,5.2,general
USA,7.8,general
USA,5.1,general
USA,4.6,general
USA,6.3,general
USA,8.5,general
USA,6.1,general
USA,6.6,general
USA,7,general
UK,7.2,general
France,6.9,general
USA,7.2,general
China,6.5,general
USA,4.9,general
USA,7.1,general
USA,6.2,general
USA,8.3,general
USA,7.9,general
USA,6.9,general
USA,5.1,general
France,4.4,general
USA,7.3,general
USA,5,general
USA,7.3,general
France,6.6,general
USA,7.3,general
USA,6.9,general
India,6.6,general
USA,7.5,general
USA,8,general
Japan,7.6,general
India,6.3,general
USA,6.3,general
USA,7.2,general
USA,6.9,general
UK,5.8,general
France,6.5,general
Canada,6.2,general
India,7.4,general
Japan,8.1,general
USA,7.1,general
USA,6.4,general
USA,7.4,general
Canada,6.5,general
USA,7.6,general
Australia,7.4,general
USA,6.9,general
India,6.1,general
India,4.2,general
Canada,7.2,general
USA,3,general
France,7.1,general
USA,7,general
UK,8.1,general
India,7.4,general
USA,5.6,general
UK,6.2,general
France,5.1,general
USA,7.2,general
USA,8,general
Canada,6.1,general
USA,7.3,general
UK,6.5,general
USA,7.5,general
UK,7.6,general
Canada,6.7,general
USA,6.7,general
Canada,7.4,general
USA,6,general
UK,7.8,general
UK,6.1,general
USA,6.4,general
UK,7.4,general
Japan,7,general
Canada,6.3,general
Japan,7.5,general
Canada,6.6,general
Japan,7.5,general
USA,6,general
USA,6.7,general
USA,5.3,general
UK,6,general
UK,6.4,general
Canada,6.2,general
France,6.5,general
UK,5.1,general
UK,4.8,general
Canada,8.1,general
Canada,5.6,general
USA,5.1,general
France,6.9,general
Canada,4.8,general
India,7,general
Canada,7,general
India,8.2,general
USA,7.5,general
UK,7.1,general
Canada,5.4,general
USA,6.2,general
Germany,7.2,general
Japan,8.1,general
USA,7.1,general
Canada,6.9,general
India,6.7,general
USA,7.6,general
USA,6.7,general
USA,6.5,general
UK,6.7,general
France,6.7,general
France,6.7,general
USA,7.9,general
Canada,8.1,general
France,6.8,general
France,7.1,general
USA,5.4,general
USA,5.7,general
USA,7.2,general
Canada,6.6,general
UK,6.6,general
USA,6.3,general
USA,6.9,general
USA,4.9,general
USA,6.5,general
USA,7,general
USA,6.2,general
USA,7.2,general
India,7.9,general
Japan,7.1,general
France,6.3,general
USA,5.8,general
Germany,7,general
UK,7.1,general
USA,5.3,general
USA,5.7,general
France,6.1,general
USA,6.6,general
USA,4.9,general
France,7,general
India,6.7,general
USA,6.6,general
USA,5.7,general
USA,7.1,general
Germany,7.5,general
Japan,7.7,general
UK,6.7,general
Germany,7.4,general
Germany,6.5,general
France,6.6,general
Japan,7.5,general
USA,6.7,general
USA,5.7,general
USA,5,general
USA,4.7,general
France,7.2,general
India,7.8,general
USA,6.2,general
India,7,general
Japan,6.9,general
UK,7.3,general
Germany,7.9,general
USA,6.1,general
Japan,6.1,general
USA,3.7,general
USA,5.3,general
USA,7.8,general
UK,5.8,general
Germany,5.8,general
France,5.9,general
UK,7.6,general
USA,5.4,general
USA,4.8,general
USA,4.5,general
Canada,5.8,general
USA,8,general
USA,5.2,general
USA,5.8,general
USA,5.2,general
USA,5.9,general
USA,4.6,general
USA,7,general
USA,6.2,general
UK,6.6,general
USA,5.3,general
UK,7,general
France,6.8,general
USA,7.2,general
USA,6.4,general
Canada,7,general
USA,5.3,general
USA,5.5,general
USA,7,general
USA,7,general
UK,6.6,general
USA,6.6,general
USA,7.1,general
USA,6.9,general
UK,6.1,general
USA,5.5,general
USA,6.2,general
USA,5.7,general
Germany,1.9,general
USA,6,general
UK,4.2,general
UK,7.9,general
USA,6,general
Japan,4.9,general
UK,6.1,general
Germany,4.6,general
Canada,4.8,general
USA,6.7,general
UK,8.1,general
USA,4.5,general
USA,6.1,general
USA,6.2,general
USA,5.9,general
USA,7.4,general
USA,5.6,general
UK,6.3,general
USA,4.5,general
France,6,general
USA,3.8,general
UK,6.2,general
USA,7.2,general
USA,7.3,general
USA,4.3,general
USA,6.9,general
USA,5.7,general
USA,4.9,general
USA,6,general
USA,6.5,general
USA,6.4,general
USA,6,general
Germany,7.2,general
France,7.1,general
USA,6.4,general
USA,6.4,general
Canada,7.5,general
USA,6.2,general
USA,6.3,general
Germany,5.3,general
USA,5.9,general
USA,5.9,general
USA,5.7,general
France,7.6,general
USA,5.1,general
USA,4.6,general
USA,6.2,general
Germany,8.2,general
France,7.9,general
USA,5.9,general
China,7.5,general
USA,7.6,general
USA,3.3,general
USA,6.6,general
USA,7.2,general
USA,6.6,general
USA,5.3,general
USA,5.3,general
USA,6.1,general
USA,5.3,general
USA,6.8,general
USA,6.7,general
USA,7.6,general
USA,5.6,general
USA,6.5,general
USA,7.3,general
USA,7.2,general
USA,7.7,general
USA,6.7,general
USA,7.8,general
USA,5.8,general
USA,7.7,general
USA,7.7,general
Germany,6.2,general
USA,5.9,general
USA,7,general
USA,7,general
USA,4.5,general
USA,5.6,general
USA,6.3,general
USA,5.8,general
USA,8,general
USA,6.1,general
USA,6,general
USA,5,general
USA,5.6,general
USA,5,general
USA,6.8,general
Germany,6.8,general
USA,6.3,general
USA,8.1,general
Germany,7.5,general
USA,7.5,general
USA,7.5,general
USA,7.5,general
Japan,8.2,general
USA,6.7,general
USA,7.3,general
UK,7.3,general
UK,6,general
USA,7.1,general
USA,6.5,general
USA,6.8,general
USA,6.6,general
USA,6.3,general
USA,6,general
USA,6.4,general
USA,6.1,general
USA,7.2,general
USA,7.1,general
USA,5.9,general
UK,7.9,general
USA,7.3,general
USA,8,general
USA,7.2,general
Canada,6.4,general
USA,8.3,general
USA,6.1,general
USA,4.4,general
USA,3.3,general
Germany,3.5,general
USA,2.9,general
Germany,5.4,general
Canada,6.3,general
USA,7.9,general
USA,3.9,general
USA,7,general
USA,2.6,general
USA,7.6,general
USA,8.1,general
USA,5,general
USA,7.2,general
USA,2.9,general
USA,4.8,general
USA,6.7,general
USA,6.4,general
Germany,5.1,general
USA,5.9,general
USA,6.6,general
USA,6.1,general
USA,6.3,general
France,7,general
UK,5.9,general
Canada,7.7,general
USA,5.6,general
USA,6,general
USA,6.9,general
USA,7,general
USA,7,general
USA,6.8,general
USA,8.2,general
USA,4.8,general
USA,5.4,general
USA,7.2,general
USA,8.1,general
Australia,6,general
USA,7.5,general
USA,7,general
USA,7,general
UK,6.9,general
Germany,5.2,general
USA,6.6,general
USA,6.4,general
USA,6.2,general
USA,6.5,general
USA,6.4,general
France,6.9,general
USA,5.3,general
USA,5.9,general
USA,7.3,general
USA,6.9,general
USA,5.5,general
USA,7.4,general
USA,6.1,general
Canada,6.2,general
USA,4.9,general
USA,5.7,general
USA,4.6,general
USA,5,general
Canada,5.2,general
UK,7.2,general
USA,5.9,general
France,6.9,general
USA,5.5,general
USA,4.5,general
USA,8.6,general
Canada,5.1,general
USA,8,general
USA,8,general
USA,7.1,general
USA,6.2,general
USA,6.9,general
France,7.5,general
USA,2.5,general
USA,5.5,general
USA,6.9,general
France,8,general
USA,8,general
USA,8.5,general
USA,6.4,general
USA,5.6,general
USA,8.9,general
USA,6.7,general
USA,5.9,general
USA,6.1,general
USA,8.1,general
USA,5.6,general
USA,5.5,general
USA,7.6,general
India,7,general
Australia,7.4,general
USA,6.4,general
USA,7.1,general
USA,7.7,general
UK,6.5,general
USA,7.3,general
Canada,6.2,general
USA,5.8,general
USA,4.2,general
USA,6.5,general
USA,6.6,general
USA,6.8,general
USA,6.6,general
USA,5.6,general
Canada,6.8,general
USA,6.1,general
USA,6.1,general
USA,8.6,general
USA,6.4,general
USA,3.7,general
USA,4.7,general
USA,6.4,general
USA,6.9,general
USA,6,general
UK,7.7,general
USA,6.3,general
USA,7.9,general
USA,5.8,general
USA,7.1,general
USA,5.7,general
USA,6.1,general
USA,6,general
USA,6.3,general
USA,7.4,general
USA,5.4,general
USA,7.8,general
USA,7,general
France,8,general
USA,5.4,general
USA,6.6,general
France,7.8,general
USA,5.7,general
USA,7.2,general
USA,4,general
USA,5.2,general
UK,6.4,general
USA,7.4,general
USA,5.5,general
USA,6.1,general
USA,6.9,general
Germany,6.8,general
USA,6,general
USA,6,general
USA,6.9,general
UK,7.3,general
Germany,5.6,general
USA,1.1,general
USA,7.2,general
France,7.4,general
USA,6.3,general
USA,6,general
USA,7.6,general
France,7.8,general
Canada,6.4,general
USA,7.7,general
France,7.6,general
USA,5.4,general
USA,6.9,general
USA,4.9,general
USA,7.4,general
USA,7,general
Canada,5.7,general
USA,7.1,general
Australia,7.7,general
USA,6.2,general
USA,5,general
USA,7,general
France,8.1,general
France,5.8,general
USA,7.1,general
Canada,6.1,general
USA,6.3,general
USA,6.6,general
USA,7.6,general
USA,7.3,general
France,6.7,general
USA,7.1,general
USA,6.3,general
UK,4.6,general
USA,3.5,general
France,7,general
USA,6.4,general
USA,6.1,general
USA,6.1,general
USA,7.2,general
USA,5.8,general
Canada,7.6,general
USA,6.9,general
USA,7.2,general
France,7.3,general
USA,6.7,general
USA,7.7,general
USA,7.6,general
USA,6.2,general
USA,7.4,general
UK,5.6,general
Canada,7.1,general
USA,7.5,general
USA,6.9,general
USA,5.1,general
USA,4.8,general
UK,6.8,general
USA,6.9,general
UK,6.5,general
USA,6.1,general
USA,6.5,general
Canada,6.3,general
France,6.7,general
USA,7.2,general
Canada,6.2,general
USA,5.6,general
USA,6.1,general
UK,6.2,general
USA,6.6,general
USA,5.8,general
USA,7.3,general
USA,6.3,general
USA,6.8,general
France,6.7,general
UK,7.3,general
USA,6.8,general
USA,6.2,general
USA,6.9,general
USA,5.5,general
UK,5.1,general
France,6.5,general
Canada,2.8,general
India,6.6,general
USA,7.2,general
USA,4.3,general
USA,7.5,general
USA,6.7,general
Canada,3.8,general
France,6.6,general
Canada,7.5,general
Germany,7.4,general
USA,6.3,general
USA,6.4,general
France,7.1,general
USA,7.7,general
UK,7.6,general
India,7.7,general
USA,4.6,general
USA,7.2,general
USA,7.1,general
USA,4.8,general
USA,6.2,general
USA,5.6,general
Japan,7.5,general
USA,6.5,general
France,7,general
Canada,6.7,general
France,7.1,general
France,6.6,general
USA,7.7,general
India,5.3,general
USA,6.6,general
USA,1.9,general
Germany,7.1,general
USA,6.7,general
USA,8,general
India,7.7,general
USA,4.6,general
USA,6.4,general
UK,5.2,general
Australia,7.3,general
France,8,general
USA,5.4,general
USA,6.7,general
USA,6,general
USA,7.5,general
USA,6.2,general
USA,6,general
India,3.6,general
UK,7,general
USA,6.1,general
India,5.2,general
USA,7.9,general
Japan,8,general
USA,3.3,general
India,5.6,general
UK,6.8,general
Germany,6.6,general
USA,7.6,general
Canada,7,general
USA,6.5,general
USA,6.8,general
USA,7,general
USA,7.1,general
India,4.1,general
USA,6.3,general
UK,7.7,general
India,2,general
USA,6.8,general
USA,5.6,general
USA,5.9,general
USA,5.6,general
USA,6.2,general
UK,6.8,general
USA,4.6,general
USA,5.3,general
USA,6.4,general
USA,4.1,general
India,5.2,general
France,7.1,general
India,4.2,general
UK,6.7,general
USA,6.1,general
UK,7.9,general
India,5.3,general
France,5.8,general
France,7.2,general
India,4.9,general
India,4.6,general
Germany,5.3,general
USA,6,general
UK,5.8,general
USA,6.5,general
India,6.9,general
USA,3.7,general
Australia,7,general
UK,6.3,general
USA,7,general
Canada,3.5,general
UK,6.2,general
USA,7.3,general
USA,6.2,general
France,6,general
USA,6.2,general
USA,5.9,general
India,5.9,general
France,7.4,general
UK,7,general
India,3.8,general
USA,5.3,general
India,6.2,general
India,5.2,general
France,6.5,general
USA,6.4,general
USA,6.4,general
Germany,7.7,general
USA,6.1,general
USA,7.6,general
UK,6.7,general
USA,5.7,general
USA,7.2,general
India,6.3,general
USA,3.9,general
USA,6.7,general
USA,6.1,general
USA,6.5,general
India,6.8,general
UK,7.1,general
USA,6.1,general
India,6.5,general
USA,6.7,general
USA,7.6,general
Japan,7.6,general
USA,6.5,general
USA,6.5,general
Canada,6.6,general
UK,6.4,general
UK,7,general
UK,6,general
India,7.5,general
USA,5.2,general
UK,6.7,general
USA,5.6,general
USA,5.8,general
France,7.6,general
USA,8.3,general
India,6.6,general
USA,7,general
UK,7.3,general
UK,7.7,general
Germany,7.4,general
USA,6.7,general
India,7.6,general
USA,5.8,general
USA,7,general
USA,6.7,general
Australia,5.7,general
USA,6.3,general
France,7.5,general
USA,6,general
India,7.2,general
France,6.8,general
UK,7.9,general
USA,6.6,general
UK,6.4,general
USA,6.5,general
USA,6.6,general
USA,4.8,general
USA,1.9,general
USA,6.6,general
USA,5.7,general
USA,7.3,general
India,7.3,general
USA,6,general
USA,6,general
USA,6.6,general
USA,4.5,general
UK,7.8,general
USA,6.5,general
USA,5.4,general
UK,3.8,general
USA,5.9,general
UK,6.9,general
USA,5.5,general
USA,5.8,general
USA,6.2,general
USA,4.3,general
USA,6.6,general
USA,7.9,general
USA,4,general
USA,5.7,general
USA,5,general
USA,5.2,general
USA,5,general
USA,7.6,general
USA,6.1,general
USA,6.2,general
USA,7.5,general
USA,7.2,general
USA,7.5,general
USA,5.4,general
USA,4.5,general
UK,7.1,general
UK,7.2,general
USA,6,general
USA,4.3,general
USA,5.5,general
USA,3.9,general
USA,5.9,general
Germany,6.1,general
USA,6.8,general
Japan,8.1,general
USA,4.5,general
USA,7.3,general
USA,6.4,general
USA,5.9,general
USA,2.3,general
UK,6.7,general
USA,6,general
USA,6.1,general
USA,6.2,general
UK,6.1,general
USA,2.8,general
France,5.6,general
USA,6,general
Germany,6.8,general
USA,6,general
USA,6,general
USA,7,general
Germany,7.6,general
USA,5.7,general
France,6.1,general
USA,7.1,general
Germany,7,general
China,7.4,general
USA,5.9,general
USA,5.8,general
USA,3.8,general
USA,6.6,general
USA,6.2,general
USA,6.1,general
USA,6.9,general
USA,7.1,general
USA,6.8,general
USA,6.5,general
USA,7,general
USA,6.6,general
USA,7.6,general
USA,5.4,general
USA,7,general
USA,7,general
USA,7.1,general
USA,6.6,general
USA,7,general
Japan,7.7,general
Germany,5.7,general
USA,5.5,general
UK,6.6,general
USA,6.1,general
USA,5.8,general
USA,5.5,general
USA,6,general
USA,6.1,general
USA,7.1,general
France,7.8,general
USA,5.1,general
USA,6.5,general
USA,6.7,general
France,7.1,general
Germany,8.1,general
India,5,general
USA,7.7,general
USA,6.7,general
USA,4.7,general
USA,6.8,general
USA,7.8,general
USA,5.6,general
USA,6.8,general
USA,6.5,general
USA,6.3,general
USA,5.2,general
USA,5.2,general
UK,8,general
USA,7.9,general
USA,7.5,general
USA,6.4,general
USA,6.6,general
USA,6.4,general
USA,8.4,general
Canada,5.1,general
USA,6.8,general
USA,0,general
USA,5.3,general
India,6.5,general
Canada,6.5,general
UK,6.6,general
USA,6.7,general
USA,5,general
USA,7.3,general
USA,5.5,general
USA,4.5,general
USA,7.9,general
USA,4.7,general
USA,4.7,general
USA,6.6,general
France,6,general
France,6.7,general
Canada,7.8,general
USA,4.3,general
USA,7.4,general
USA,5.9,general
USA,6.9,general
USA,4.7,general
USA,5,general
USA,5.8,general
USA,6,general
USA,6.7,general
USA,6.5,general
Germany,6.9,general
USA,3.9,general
USA,6.7,general
USA,7.5,general
Germany,6.9,general
USA,6,general
UK,6.8,general
USA,6.1,general
USA,3.3,general
USA,6.2,general
USA,5.5,general
USA,7.3,general
USA,5.7,general
USA,6.4,general
USA,5.4,general
USA,5.3,general
USA,8,general
India,3.6,general
USA,5.2,general
USA,5.9,general
USA,6.8,general
UK,7.2,general
USA,6.2,general
USA,7.8,general
USA,5.4,general
USA,5.2,general
USA,5.9,general
USA,6.9,general
USA,7.3,general
USA,6.2,general
UK,6.3,general
USA,8.3,general
USA,4.6,general
India,7.5,general
USA,6.1,general
Germany,8.1,general
Australia,4.9,general
USA,6.2,general
Canada,5.2,general
France,5.8,general
USA,5.7,general
USA,7.8,general
USA,5.4,general
UK,6.4,general
UK,7.6,general
USA,7.2,general
USA,7.3,general
Canada,4.6,general
USA,6,general
USA,6.6,general
Canada,6.5,general
USA,7.3,general
USA,8.4,general
Germany,6.6,general
France,7.4,general
USA,7.4,general
UK,7.2,general
USA,4.6,general
France,7,general
USA,7.6,general
USA,7.7,general
USA,7.2,general
UK,5.8,general
USA,6.3,general
France,7.1,general
USA,6.6,general
UK,7.6,general
USA,6.5,general
USA,6.9,general
USA,6.9,general
France,7.1,general
USA,6.7,general
USA,5.2,general
UK,6.9,general
USA,6.5,general
USA,6.2,general
UK,7,general
India,5.2,general
USA,6.5,general
USA,7,general
USA,7.2,general
USA,6.3,general
USA,6.1,general
UK,7.2,general
USA,6.3,general
USA,6.8,general
USA,7.7,general
USA,7.3,general
USA,7.9,general
USA,6.8,general
USA,8.1,general
India,4.9,general
USA,6.1,general
USA,5.3,general
USA,6.8,general
Japan,5.9,general
USA,4.7,general
USA,4.2,general
USA,5,general
USA,5.5,general
USA,7.1,general
France,7.1,general
USA,7.5,general
France,7.9,general
USA,5.5,general
USA,5.7,general
USA,6.5,general
USA,6.6,general
USA,7.2,general
USA,4.5,general
France,6.7,general
USA,3.9,general
USA,7.7,general
USA,7.3,general
USA,5.5,general
France,7.8,general
USA,6.1,general
France,7.1,general
USA,6.2,general
USA,4.3,general
USA,5.5,general
USA,5.1,general
USA,6.5,general
UK,7.9,general
USA,7.2,general
USA,7.2,general
USA,4.8,general
USA,5.8,general
India,7.3,general
USA,6.8,general
USA,7.3,general
USA,5.9,general
USA,8.1,general
USA,6.3,general
France,7.2,general
USA,6.5,general
France,7.4,general
USA,6.1,general
USA,7.2,general
USA,4.9,general
USA,6.5,general
France,5.3,general
USA,6.6,general
USA,6.8,general
USA,6.1,general
USA,4.8,general
USA,5.6,general
USA,6.1,general
UK,5.7,general
UK,7.2,general
Japan,6.8,general
USA,6.9,general
USA,5.9,general
USA,6.7,general
Germany,5.8,general
USA,6.2,general
France,6.4,general
USA,5.4,general
USA,6.8,general
France,7.2,general
UK,7,general
USA,6.1,general
India,8.8,general
Germany,7.4,general
USA,6.8,general
France,7.5,general
Canada,7.3,general
USA,6.8,general
USA,6.9,general
USA,6.6,general
USA,6.2,general
USA,5.9,general
USA,6.8,general
USA,6.4,general
USA,4.9,general
USA,6.1,general
USA,6.1,general
USA,5.5,general
USA,4.2,general
USA,7.7,general
Germany,8.5,general
France,7.9,general
India,5.3,general
USA,7.6,general
USA,6.8,general
USA,7,general
France,6.8,general
Japan,7.3,general
USA,7.4,general
Canada,6.3,general
USA,7.2,general
UK,6.3,general
USA,5.8,general
USA,6,general
UK,5.4,general
USA,6.5,general
China,6.4,general
USA,5.6,general
Canada,6.3,general
USA,7.2,general
USA,6.4,general
France,6.5,general
USA,7.1,general
USA,6.6,general
USA,7.7,general
USA,7.1,general
Japan,7.6,general
USA,5.6,general
USA,7.3,general
France,5.8,general
USA,6.6,general
USA,7.1,general
USA,7.7,general
USA,6.6,general
France,7.6,general
USA,6.3,general
USA,7.3,general
USA,6.4,general
France,2.1,general
Australia,7.2,general
USA,7.3,general
Canada,6.9,general
Canada,6.1,general
Canada,6.1,general
USA,7.1,general
USA,6.3,general
USA,7.4,general
USA,8.2,general
USA,7.3,general
USA,6.7,general
Japan,7.7,general
India,6.1,general
USA,5.8,general
UK,7.2,general
USA,4.6,general
USA,4,general
USA,4.2,general
USA,5.7,general
USA,5.6,general
USA,6.7,general
France,6.9,general
USA,5.4,general
Germany,7.2,general
France,7.3,general
India,3.2,general
India,5.4,general
USA,7.5,general
USA,8,general
France,7.5,general
USA,4.4,general
UK,8,general
USA,7.9,general
UK,6.2,general
UK,6.4,general
UK,6.1,general
USA,7.6,general
France,6.4,general
USA,6.1,general
France,5.3,general
USA,7.4,general
UK,7.6,general
USA,6.8,general
USA,7.1,general
India,5.2,general
USA,6.4,general
Australia,6.7,general
USA,7,general
France,6.4,general
USA,8.8,general
USA,5.3,general
USA,7.1,general
USA,7.5,general
USA,6.4,general
USA,6.5,general
UK,5.9,general
USA,3.6,general
Germany,7.6,general
Australia,7.1,general
France,8.1,general
India,6,general
UK,6.1,general
USA,7.8,general
USA,6.3,general
USA,7.1,general
USA,7.6,general
Japan,7.1,general
Canada,6.5,general
India,2.3,general
India,6.8,general
USA,6,general
USA,7.4,general
France,6.1,general
Australia,6.3,general
USA,7.4,general
India,6.8,general
USA,6.3,general
India,7.6,general
USA,6.2,general
USA,7.1,general
UK,6.4,general
USA,6,general
USA,6.4,general
UK,6.8,general
France,7.1,general
USA,4.9,general
France,6.3,general
Germany,6.3,general
India,6.4,general
India,6.4,general
USA,6.5,general
UK,4.6,general
India,7.2,general
India,6.4,general
India,8.1,general
Canada,6.2,general
USA,4.9,general
USA,6.8,general
USA,7.7,general
USA,5.8,general
India,5.6,general
UK,7.2,general
France,6.1,general
USA,7.8,general
USA,6.7,general
USA,6.8,general
France,6.9,general
UK,6.5,general
USA,7.3,general
India,5.7,general
USA,5.3,general
UK,6,general
UK,7,general
Canada,5.9,general
UK,7.5,general
India,5.2,general
UK,7.2,general
France,6,general
Australia,6.4,general
USA,6.4,general
Germany,6.1,general
USA,6.3,general
USA,7.7,general
France,6.3,general
USA,4.3,general
France,6.6,general
USA,4.3,general
USA,6.9,general
USA,6.1,general
USA,5.1,general
France,6.1,general
USA,1.4,general
USA,6.7,general
USA,8.1,general
USA,3.5,general
USA,6.6,general
UK,7.4,general
USA,7.2,general
USA,6.7,general
UK,6.7,general
USA,6.8,general
France,6.2,general
USA,6.6,general
Canada,6.9,general
India,6.9,general
France,5.3,general
France,6.4,general
USA,7.8,general
France,6.5,general
France,5.9,general
UK,6.4,general
USA,6.8,general
France,6.4,general
USA,6.6,general
USA,5.7,general
USA,6.5,general
USA,6.1,general
France,7.1,general
Germany,7.3,general
France,7,general
France,5.8,general
Australia,7.2,general
France,6.7,general
France,6.4,general
UK,7.1,general
France,6.6,general
India,5.3,general
USA,6.9,general
Canada,7,general
USA,6.7,general
USA,6.2,general
France,8.5,general
France,7.2,general
UK,6.6,general
Germany,7.3,general
USA,7,general
Japan,6.8,general
USA,6.8,general
USA,6.4,general
USA,5.4,general
Germany,7,general
UK,6.4,general
India,5.8,general
UK,7.8,general
France,6.8,general
USA,6,general
USA,6.6,general
China,6.5,general
USA,6.5,general
UK,6.3,general
USA,6.2,general
Canada,8.1,general
France,7.1,general
USA,6.8,general
USA,6.9,general
Canada,7,general
USA,5.4,general
UK,6.2,general
Australia,6.8,general
UK,6.3,general
UK,7.4,general
USA,5.5,general
USA,5.4,general
USA,6.7,general
USA,4.6,general
USA,5.2,general
USA,5.7,general
UK,5.1,general
USA,5.1,general
USA,7,general
USA,7.1,general
USA,3.1,general
USA,5.3,general
UK,6.8,general
France,6.3,general
Germany,7.2,general
China,4.8,general
USA,5.8,general
USA,7.4,general
USA,4.7,general
USA,7,general
USA,6.7,general
USA,6.4,general
USA,6.2,general
USA,6.8,general
USA,6.9,general
USA,6.3,general
USA,6.3,general
UK,6.9,general
Japan,7.7,general
USA,6.7,general
USA,7,general
Australia,7,general
China,5.9,general
USA,4.1,general
UK,6.8,general
France,6.7,general
USA,6.6,general
USA,6.5,general
USA,6,general
UK,7.2,general
USA,6.1,general
USA,7.9,general
Australia,7.5,general
USA,6.2,general
USA,7.9,general
India,5.5,general
China,5.2,general
China,4.1,general
China,7.3,general
USA,7.3,general
USA,6.6,general
USA,7.1,general
USA,5.8,general
USA,6.5,general
USA,6.1,general
USA,6.2,general
USA,8.5,general
USA,6.5,general
USA,6.4,general
USA,5.6,general
USA,7.2,general
USA,4.7,general
China,5.8,general
USA,7.3,general
USA,5.7,general
USA,6.8,general
USA,5.8,general
France,5.7,general
USA,5.1,general
UK,7.5,general
USA,7.4,general
USA,6.4,general
USA,7.4,general
USA,7.3,general
USA,6.7,general
USA,7.4,general
USA,6,general
Canada,6.5,general
USA,6.1,general
China,5.5,general
USA,6.2,general
USA,5,general
USA,6.2,general
USA,4.9,general
USA,7.3,general
USA,7.7,general
India,8.1,general
UK,6.3,general
China,4.2,general
USA,5.8,general
USA,6.8,general
USA,6.4,general
USA,4.5,general
USA,6.5,general
UK,7.7,general
USA,6.4,general
USA,5.5,general
USA,6.3,general
Canada,5.5,general
China,6.5,general
USA,6.2,general
USA,5.3,general
Canada,5.7,general
USA,5.1,general
USA,6.2,general
USA,5.8,general
USA,6.1,general
USA,6,general
USA,7.2,general
USA,6,general
USA,7.6,general
China,6.4,general
Germany,8.1,general
USA,7.2,general
USA,6.1,general
USA,6.5,general
UK,6.9,general
USA,6.3,general
USA,5.9,general
USA,6.2,general
USA,5.4,general
UK,7.2,general
USA,6,general
USA,6.7,general
USA,6.8,general
UK,6,general
UK,8,general
USA,6.8,general
USA,7,general
USA,6.3,general
UK,6.2,general
USA,5.8,general
USA,8.1,general
USA,6.2,general
USA,7.9,general
USA,7.7,general
USA,7.3,general
France,6.4,general
USA,6.4,general
USA,5.8,general
USA,7.8,general
USA,7.8,general
USA,6.6,general
USA,8.6,general
USA,7.7,general
USA,7.6,general
USA,8,general
USA,6.6,general
USA,7,general
USA,0,general
USA,7.8,general
USA,8,general
USA,5.6,general
USA,6,general
USA,6.3,general
USA,7.1,general
USA,6.6,general
France,6.3,general
USA,7.6,general
USA,6.1,general
USA,6.3,general
USA,7.6,general
France,6.7,general
USA,7.1,general
USA,3.9,general
UK,4.6,general
Germany,6.8,general
Canada,6.6,general
USA,5.7,general
USA,5.8,general
China,5.1,general
USA,5.6,general
Canada,5.9,general
USA,5,general
USA,6.8,general
USA,7.5,general
USA,5.6,general
Japan,5.8,general
USA,7.4,general
USA,7.7,general
USA,5.6,general
USA,4.1,general
USA,5.5,general
USA,8,general
USA,7.2,general
USA,6.3,general
USA,7,general
USA,5,general
USA,4.9,general
USA,6.8,general
USA,2,general
USA,2.7,general
USA,7.1,general
Germany,6.8,general
Canada,6.3,general
USA,7.2,general
USA,5.4,general
USA,6.8,general
USA,6.5,general
USA,4.8,general
USA,4.9,general
USA,6.3,general
UK,6.2,general
USA,5.9,general
USA,5.4,general
Canada,6.6,general
USA,6.5,general
Germany,7.5,general
Germany,7.6,general
USA,7.5,general
USA,6.4,general
USA,4.9,general
Japan,6.8,general
USA,3.5,general
Japan,7.8,general
Australia,4.6,general
USA,7.3,general
USA,5.5,general
UK,6,general
USA,4.8,general
USA,6,general
USA,4.6,general
USA,4.9,general
USA,6.4,general
USA,6.6,general
USA,7.2,general
USA,7.6,general
France,5.8,general
USA,8.5,general
USA,5.3,general
USA,6.3,general
Canada,6.1,general
USA,7.4,general
UK,7.4,general
USA,7.7,general
USA,6.1,general
USA,7.5,general
USA,6.8,general
USA,6.2,general
USA,5,general
USA,6.6,general
USA,4.4,general
USA,6.8,general
